cpm_id	Source	Target	attn_weights_1_head_1	attn_weights_1_head_2	attn_weights_2_head_1	attn_weights_2_head_2	attn_weights_3_head_1	attn_weights_3_head_2	attn_weights_4_head_1
UHF0117	CHP03052	CHP03052	0.308	0.0785	0.3507	0.3267	0.3	0.3213	0.3169
UHF0117	CHP03732	CHP03732	0.3511	0.4371	0.3278	0.333	0.3631	0.353	0.3419
UHF0117	Dry therapeutic	Dry therapeutic	0.1929	0.1151	0.197	0.2009	0.1832	0.1876	0.1994
UHF0117	Moist therapeutic	Moist therapeutic	0.356	0.4641	0.3253	0.3331	0.3543	0.3431	0.3396
UHF0117	Cold therapeutic	Cold therapeutic	0.2599	0.3041	0.2456	0.2512	0.275	0.2667	0.2568
UHF0117	Hot therapeutic	Hot therapeutic	0.2323	0.1034	0.256	0.2513	0.23	0.2394	0.2437
UHF0132	CHP00308	Dry therapeutic	0.0152	0.1587	0.1247	0.0544	0.0954	0.0833	0.074
UHF0132	CHP00308	Cold therapeutic	0.0138	0.1871	0.1489	0.057	0.0948	0.0675	0.0681
UHF0132	CHP00608	Cold therapeutic	0.0011	0.0911	0.0295	0.0662	0.0753	0.0992	0.0684
UHF0132	CHP00997	Dry therapeutic	0.0098	0.0573	0.0205	0.0604	0.0612	0.0504	0.0612
UHF0132	CHP00997	Hot therapeutic	0.0148	0.0643	0.0281	0.0561	0.0654	0.0505	0.0591
UHF0132	CHP01690	Hot therapeutic	0.6501	0.0569	0.0444	0.0676	0.0713	0.0425	0.0608
UHF0132	CHP01690	Dry therapeutic	0.4308	0.0507	0.0324	0.0728	0.0668	0.0424	0.0629
UHF0132	CHP01757	Hot therapeutic	0.0178	0.0029	0.0306	0.0586	0.0603	0.0535	0.0595
UHF0132	CHP01757	Dry therapeutic	0.0118	0.003	0.0224	0.0631	0.0564	0.0534	0.0615
UHF0132	CHP01771	Hot therapeutic	0.0249	0.0309	0.0583	0.0634	0.0624	0.0505	0.0586
UHF0132	CHP01771	Dry therapeutic	0.0165	0.0275	0.0426	0.0682	0.0584	0.0503	0.0607
UHF0132	CHP02023	Moist therapeutic	0.9137	0.0438	0.1569	0.122	0.1411	0.1357	0.1454
UHF0132	CHP02023	Cold therapeutic	0.5777	0.0226	0.0635	0.0658	0.0616	0.0673	0.0772
UHF0132	CHP02305	Cold therapeutic	0.01	0.0477	0.0198	0.0708	0.0609	0.0559	0.0611
UHF0132	CHP02305	Hot therapeutic	0.0167	0.0454	0.0227	0.0628	0.0655	0.0692	0.0641
UHF0132	CHP02685	Cold therapeutic	0.0101	0.0996	0.0433	0.0756	0.0656	0.064	0.0624
UHF0132	CHP02685	Dry therapeutic	0.0112	0.0845	0.0363	0.0722	0.066	0.079	0.0679
