CPM_ID	CHP_ID	Dosage_ratio
UHF0190	CHP06212	0.6443
UHF0190	CHP04065	0.0966
UHF0190	CHP05195	0.0322
UHF0190	CHP05194	0.0322
UHF0190	CHP05007	0.0206
UHF0190	CHP03306	0.0193
UHF0190	CHP06320	0.0155
UHF0190	CHP03013	0.0129
UHF0190	CHP04047	0.0129
UHF0190	CHP06220	0.0129
UHF0190	CHP03731	0.0129
UHF0190	CHP04861	0.0129
UHF0190	CHP00289	0.0129
UHF0190	CHP06241	0.0077
UHF0190	CHP06279	0.0077
UHF0190	CHP04591	0.0077
UHF0190	CHP04106	0.0077
UHF0190	CHP01118	0.0077
UHF0190	CHP03283	0.0077
UHF0190	CHP04697	0.0077
UHF0190	CHP01326	0.0077
UHF0189	CHP00308	0.2145
UHF0189	CHP02685	0.1072
UHF0189	CHP05255	0.1072
UHF0189	CHP01399	0.1072
UHF0189	CHP04591	0.1072
UHF0189	CHP01515	0.0643
UHF0189	CHP00238	0.0643
UHF0189	CHP06288	0.0322
UHF0189	CHP04150	0.0322
UHF0189	CHP00315	0.0322
UHF0189	CHP00240	0.0322
UHF0189	CHP00844	0.0322
UHF0189	CHP01146	0.0322
UHF0189	CHP03130	0.0322
UHF0189	CHP06212	0.0027
UHF0179	CHP04382	0.25
UHF0179	CHP00004	0.25
UHF0179	CHP03731	0.25
UHF0179	CHP03352	0.25
UHF0176	CHP04124	0.6818
UHF0176	CHP01519	0.1591
UHF0176	CHP06210	0.1591
UHF0177	CHP01757	1.0
UHF0178	CHP04888	0.3704
UHF0178	CHP03800	0.2593
UHF0178	CHP06175	0.1111
UHF0178	CHP06242	0.0864
UHF0178	CHP03352	0.0864
UHF0178	CHP02748	0.0864
UHF0180	CHP01757	0.4087
UHF0180	CHP00844	0.4087
UHF0180	CHP06212	0.0817
UHF0180	CHP00316	0.0136
UHF0180	CHP05914	0.0082
UHF0180	CHP04047	0.0054
UHF0180	CHP06282	0.0054
UHF0180	CHP00216	0.0054
UHF0180	CHP01871	0.0054
UHF0180	CHP06231	0.0041
UHF0180	CHP04106	0.0041
UHF0180	CHP01416	0.0041
