cpm_id	Source	Target	attention
UHF0466	CHP02839	Cold therapeutic	0.219642
UHF0466	Cold therapeutic	Cold therapeutic	0.095595
UHF0466	CHP04697	Cold therapeutic	0.101658
UHF0466	CHP04888	Cold therapeutic	0.039205
UHF0466	Moist therapeutic	Cold therapeutic	0.11981
UHF0466	CHP05104	Cold therapeutic	0.080164
UHF0466	Dry therapeutic	Dry therapeutic	0.191809
UHF0466	Hot therapeutic	Dry therapeutic	0.169085
UHF0466	CHP02839	Dry therapeutic	0.274498
UHF0466	Cold therapeutic	Dry therapeutic	0.071332
UHF0466	CHP04697	Dry therapeutic	0.083575
UHF0466	CHP04888	Dry therapeutic	0.05029
UHF0466	Moist therapeutic	Dry therapeutic	0.093873
UHF0466	CHP05104	Dry therapeutic	0.065575
UHF0466	Dry therapeutic	Hot therapeutic	0.155588
UHF0466	Hot therapeutic	Hot therapeutic	0.200906
UHF0466	CHP02839	Hot therapeutic	0.268232
UHF0466	Cold therapeutic	Hot therapeutic	0.057749
UHF0466	CHP04697	Hot therapeutic	0.049584
UHF0466	CHP04888	Hot therapeutic	0.050485
UHF0466	Moist therapeutic	Hot therapeutic	0.116837
UHF0466	CHP05104	Hot therapeutic	0.100687
UHF0466	Moist therapeutic	Moist therapeutic	0.153739
UHF0466	Hot therapeutic	Moist therapeutic	0.199488
UHF0466	CHP05104	Moist therapeutic	0.127176
UHF0466	CHP04697	Moist therapeutic	0.057581
UHF0466	Dry therapeutic	Moist therapeutic	0.137878
UHF0466	Cold therapeutic	Moist therapeutic	0.076425
UHF0466	CHP02839	Moist therapeutic	0.208861
UHF0466	CHP04888	Moist therapeutic	0.038958
UHF0119	CHP01119	CHP01119	0.01342
UHF0119	CHP03800	CHP01119	0.017136
UHF0119	CHP05557	CHP01119	0.030536
UHF0119	Dry therapeutic	CHP01119	0.071297
UHF0119	Moist therapeutic	CHP01119	0.058896
UHF0119	Cold therapeutic	CHP01119	0.149808
UHF0119	CHP01757	CHP01119	0.354141
UHF0119	CHP02024	CHP01119	0.006329
UHF0119	CHP03124	CHP01119	0.045027
UHF0119	CHP03130	CHP01119	0.025383
UHF0119	CHP03283	CHP01119	0.010165
UHF0119	CHP04368	CHP01119	0.008223
UHF0119	CHP06210	CHP01119	0.070939
UHF0119	Hot therapeutic	CHP01119	0.138541
UHF0119	CHP01757	CHP01757	0.475258
UHF0119	CHP02024	CHP01757	0.010003
UHF0119	CHP03283	CHP01757	0.015505
UHF0119	CHP06210	CHP01757	0.085102
UHF0119	Cold therapeutic	CHP01757	0.08255
UHF0119	Hot therapeutic	CHP01757	0.124482
UHF0119	Dry therapeutic	CHP01757	0.08649
UHF0119	CHP01119	CHP01757	0.004896
UHF0119	CHP03124	CHP01757	0.033968
UHF0119	CHP03130	CHP01757	0.018808
UHF0119	CHP03800	CHP01757	0.008005
UHF0119	CHP04368	CHP01757	0.006286
UHF0119	CHP05557	CHP01757	0.0126
UHF0119	Moist therapeutic	CHP01757	0.036009
UHF0119	CHP01757	CHP02024	0.450118
UHF0119	CHP02024	CHP02024	0.014029
UHF0119	CHP03283	CHP02024	0.015816
UHF0119	CHP06210	CHP02024	0.088147
UHF0119	Cold therapeutic	CHP02024	0.08445
UHF0119	Hot therapeutic	CHP02024	0.131278
UHF0119	Dry therapeutic	CHP02024	0.09302
UHF0119	CHP01119	CHP02024	0.004981
UHF0119	CHP03124	CHP02024	0.034849
UHF0119	CHP03130	CHP02024	0.019202
UHF0119	CHP03800	CHP02024	0.00816
UHF0119	CHP04368	CHP02024	0.006423
UHF0119	CHP05557	CHP02024	0.012776
UHF0119	Moist therapeutic	CHP02024	0.0367
UHF0119	CHP03124	CHP03124	0.090875
UHF0119	CHP03130	CHP03124	0.048811
UHF0119	CHP04368	CHP03124	0.015511
UHF0119	Cold therapeutic	CHP03124	0.093796
UHF0119	Hot therapeutic	CHP03124	0.138385
UHF0119	Moist therapeutic	CHP03124	0.083115
UHF0119	CHP01119	CHP03124	0.006116
UHF0119	CHP01757	CHP03124	0.354394
UHF0119	CHP02024	CHP03124	0.006004
UHF0119	CHP03283	CHP03124	0.009731
UHF0119	CHP03800	CHP03124	0.010133
UHF0119	CHP05557	CHP03124	0.01567
UHF0119	CHP06210	CHP03124	0.071769
UHF0119	Dry therapeutic	CHP03124	0.055773
UHF0119	CHP03124	CHP03130	0.079135
UHF0119	CHP03130	CHP03130	0.058637
UHF0119	CHP04368	CHP03130	0.015407
UHF0119	Cold therapeutic	CHP03130	0.093117
UHF0119	Hot therapeutic	CHP03130	0.141222
UHF0119	Moist therapeutic	CHP03130	0.085941
UHF0119	CHP01119	CHP03130	0.006077
UHF0119	CHP01757	CHP03130	0.352452
UHF0119	CHP02024	CHP03130	0.005967
UHF0119	CHP03283	CHP03130	0.009673
UHF0119	CHP03800	CHP03130	0.01007
UHF0119	CHP05557	CHP03130	0.015565
UHF0119	CHP06210	CHP03130	0.071382
UHF0119	Dry therapeutic	CHP03130	0.05542
UHF0119	CHP01757	CHP03283	0.449329
UHF0119	CHP02024	CHP03283	0.010193
UHF0119	CHP03283	CHP03283	0.021281
UHF0119	CHP06210	CHP03283	0.087943
UHF0119	Cold therapeutic	CHP03283	0.084339
UHF0119	Hot therapeutic	CHP03283	0.131146
UHF0119	Dry therapeutic	CHP03283	0.092786
UHF0119	CHP01119	CHP03283	0.004977
UHF0119	CHP03124	CHP03283	0.034774
UHF0119	CHP03130	CHP03283	0.019174
UHF0119	CHP03800	CHP03283	0.008152
UHF0119	CHP04368	CHP03283	0.006415
UHF0119	CHP05557	CHP03283	0.012771
UHF0119	Moist therapeutic	CHP03283	0.036667
UHF0119	CHP01119	CHP03800	0.010751
UHF0119	CHP03800	CHP03800	0.020636
UHF0119	CHP05557	CHP03800	0.030486
UHF0119	Dry therapeutic	CHP03800	0.071185
UHF0119	Moist therapeutic	CHP03800	0.058782
UHF0119	Cold therapeutic	CHP03800	0.150009
UHF0119	CHP01757	CHP03800	0.35351
UHF0119	CHP02024	CHP03800	0.006323
UHF0119	CHP03124	CHP03800	0.044956
UHF0119	CHP03130	CHP03800	0.025356
UHF0119	CHP03283	CHP03800	0.010154
UHF0119	CHP04368	CHP03800	0.008213
UHF0119	CHP06210	CHP03800	0.070795
UHF0119	Hot therapeutic	CHP03800	0.138725
UHF0119	CHP03124	CHP04368	0.079685
UHF0119	CHP03130	CHP04368	0.048757
UHF0119	CHP04368	CHP04368	0.019541
UHF0119	Cold therapeutic	CHP04368	0.093715
