CPM_ID	Chinese_herbal_formulas	Pinyin_term	Routes_of_administration
UHF0115	买提布合 比合 阿那尔 土如西 汤	mai ti bu he   bi he   a na er   tu ru xi   tang	Oral
UHF0116	买提布合 比合 比衣德 汤	mai ti bu he   bi he   bi yi de   tang	Oral
UHF0117	买提布合 地当 汤	mai ti bu he   di dang   tang	Oral
UHF0118	买提布合 黑亚日 先白尔汤	mai ti bu he   hei ya ri   xian bai er tang	Oral
UHF0119	买提布合 蒙孜吉 成熟剂Ⅰ	mai ti bu he   meng zi ji   cheng shu ji Ⅰ	Oral
UHF0120	买提布合 蒙孜吉 成熟剂Ⅱ	mai ti bu he   meng zi ji   cheng shu ji Ⅱ	Oral
UHF0121	买提布合 蒙孜吉 成熟剂Ⅲ	mai ti bu he   meng zi ji   cheng shu ji Ⅲ	Oral
UHF0122	买提布合 蒙孜吉木斯力 汤	mai ti bu he   meng zi ji mu si li   tang	Oral
UHF0123	买提布合 木地日 艾衣孜 汤	mai ti bu he   mu di ri   ai yi zi   tang	Oral
UHF0124	买提布合 木来引 汤Ⅰ	mai ti bu he   mu lai yin   tang Ⅰ	Oral
UHF0125	买提布合 木来引 汤Ⅱ	mai ti bu he   mu lai yin   tang Ⅱ	Oral
UHF0126	买提布合 乃孜乐 汤	mai ti bu he   nai zi le   tang	Oral
UHF0127	买提布合 欧里白 汤	mai ti bu he   ou li bai   tang	Oral
UHF0128	买提布合 破斯提阿那尔 汤	mai ti bu he   po si ti a na er   tang	Oral
UHF0129	买提布合 苏仁江 汤Ⅰ	mai ti bu he   su ren jiang   tang Ⅰ	Oral
UHF0130	买提布合 苏仁江 汤Ⅱ	mai ti bu he   su ren jiang   tang Ⅱ	Oral
UHF0131	买提布合 吐胡米开都 汤	mai ti bu he   tu hu mi kai dou   tang	Oral
UHF0132	买提布合 夏塔热 汤	mai ti bu he   xia ta re   tang	Oral
UHF0133	买提布合 再合热 胡合 汤	mai ti bu he   zai he re   hu he   tang	Oral
UHF0134	买朱尼 阿卡克亚 蜜膏	mai zhu ni   a ka ke ya   mi gao	Oral
UHF0135	买朱尼 艾布里哈尔 蜜膏	mai zhu ni   ai bu li ha er   mi gao	Oral
UHF0136	买朱尼 艾克热比 蜜膏	mai zhu ni   ai ke re bi   mi gao	Oral
UHF0137	买朱尼 艾米如司亚 蜜膏	mai zhu ni   ai mi ru si ya   mi gao	Oral
UHF0138	买朱尼 白热斯 蜜膏Ⅰ	mai zhu ni   bai re si   mi gao Ⅰ	Oral
UHF0139	买朱尼 白热斯 蜜膏Ⅱ	mai zhu ni   bai re si   mi gao Ⅱ	Oral
