CPM_ID	TCMT_ID
UHF0306	TCMT01938
UHF0307	TCMT01940
UHF0307	TCMT00383
UHF0307	TCMT01941
UHF0309	TCMT01941
UHF0310	TCMT01940
UHF0310	TCMT02120
UHF0313	TCMT01938
UHF0313	TCMT02184
UHF0316	TCMT00503
UHF0317	TCMT01938
UHF0317	TCMT02120
UHF0317	TCMT01939
UHF0318	TCMT00383
UHF0318	TCMT00433
UHF0319	TCMT01938
UHF0319	TCMT01939
UHF0320	TCMT01939
UHF0320	TCMT01938
UHF0322	TCMT02061
UHF0322	TCMT00509
UHF0323	TCMT01938
UHF0323	TCMT01939
UHF0324	TCMT01939
UHF0326	TCMT02027
UHF0327	TCMT00509
UHF0328	TCMT01939
UHF0328	TCMT01938
UHF0329	TCMT01938
UHF0329	TCMT01941
UHF0329	TCMT01939
UHF0330	TCMT01939
UHF0330	TCMT01938
UHF0330	TCMT00509
UHF0331	TCMT01938
UHF0332	TCMT01938
UHF0334	TCMT01940
UHF0335	TCMT01940
UHF0336	TCMT01938
UHF0336	TCMT01940
UHF0337	TCMT01938
UHF0337	TCMT01940
UHF0338	TCMT00383
UHF0338	TCMT01940
UHF0338	TCMT01941
UHF0339	TCMT01938
UHF0339	TCMT01940
UHF0340	TCMT01938
UHF0340	TCMT01940
UHF0341	TCMT01923
UHF0341	TCMT00383
UHF0341	TCMT01941
UHF0342	TCMT01834
UHF0343	TCMT01939
UHF0346	TCMT01939
UHF0347	TCMT02180
UHF0347	TCMT01817
UHF0350	TCMT02120
UHF0351	TCMT01938
UHF0351	TCMT01939
UHF0352	TCMT01939
UHF0352	TCMT00503
UHF0353	TCMT00383
UHF0353	TCMT01941
UHF0353	TCMT02120
UHF0354	TCMT01938
UHF0355	TCMT01938
UHF0355	TCMT00509
UHF0355	TCMT02199
UHF0356	TCMT01938
UHF0357	TCMT01940
UHF0359	TCMT01923
UHF0360	TCMT01941
UHF0361	TCMT01940
UHF0363	TCMT01939
UHF0363	TCMT00383
UHF0363	TCMT01940
UHF0363	TCMT02120
UHF0363	TCMT01941
UHF0365	TCMT02036
UHF0366	TCMT02027
UHF0366	TCMT02120
UHF0367	TCMT01911
UHF0367	TCMT01939
UHF0368	TCMT01939
UHF0368	TCMT01938
UHF0370	TCMT01941
UHF0371	TCMT01940
UHF0371	TCMT01941
UHF0371	TCMT00383
UHF0372	TCMT01939
UHF0372	TCMT01940
UHF0373	TCMT01939
UHF0373	TCMT01938
UHF0373	TCMT01940
UHF0374	TCMT01939
UHF0379	TCMT02036
UHF0379	TCMT02180
UHF0380	TCMT01941
UHF0380	TCMT00383
UHF0380	TCMT02120
UHF0381	TCMT02061
UHF0381	TCMT02120
UHF0381	TCMT02180
UHF0382	TCMT02036
UHF0384	TCMT01836
UHF0385	TCMT01941
UHF0389	TCMT02180
UHF0389	TCMT01817
UHF0389	TCMT02120
UHF0390	TCMT02037
UHF0390	TCMT02180
UHF0391	TCMT02061
UHF0392	TCMT01870
UHF0393	TCMT02120
UHF0393	TCMT02180
UHF0396	TCMT02027
UHF0398	TCMT02036
UHF0401	TCMT00383
UHF0401	TCMT01941
UHF0401	TCMT01940
UHF0402	TCMT01941
UHF0403	TCMT01939
UHF0403	TCMT01938
UHF0406	TCMT01939
UHF0411	TCMT01941
UHF0422	TCMT00433
UHF0423	TCMT00433
UHF0429	TCMT00383
UHF0429	TCMT01941
UHF0429	TCMT01940
UHF0430	TCMT00383
UHF0430	TCMT01941
UHF0430	TCMT01940
UHF0436	TCMT01939
UHF0436	TCMT01938
UHF0438	TCMT01938
UHF0439	TCMT02027
UHF0439	TCMT01817
UHF0439	TCMT00383
UHF0440	TCMT02027
UHF0440	TCMT02180
UHF0441	TCMT01939
UHF0441	TCMT01940
UHF0442	TCMT01940
UHF0444	TCMT01939
UHF0445	TCMT01941
UHF0448	TCMT01938
UHF0451	TCMT01941
UHF0455	TCMT01940
UHF0468	TCMT01939
UHF0468	TCMT01938
UHF0470	TCMT01938
UHF0471	TCMT01938
UHF0471	TCMT01940
UHF0472	TCMT01939
UHF0472	TCMT01938
UHF0475	TCMT01941
UHF0475	TCMT02120
UHF0477	TCMT00383
UHF0477	TCMT01941
UHF0477	TCMT01940
UHF0478	TCMT00383
UHF0479	TCMT01941
UHF0480	TCMT01939
UHF0001	TCMT02534
UHF0001	TCMT02576
UHF0001	TCMT00067
UHF0002	TCMT00222
UHF0002	TCMT02397
UHF0003	TCMT02245
UHF0003	TCMT00159
UHF0003	TCMT02446
UHF0004	TCMT02245
UHF0004	TCMT02670
UHF0004	TCMT02375
UHF0004	TCMT02319
UHF0005	TCMT02245
UHF0005	TCMT02446
UHF0006	TCMT00276
UHF0006	TCMT02635
UHF0007	TCMT02734
UHF0007	TCMT02320
UHF0009	TCMT00319
UHF0009	TCMT00053
UHF0010	TCMT02245
UHF0010	TCMT02576
UHF0010	TCMT02446
UHF0012	TCMT02446
UHF0014	TCMT02246
UHF0014	TCMT00173
UHF0014	TCMT00240
UHF0015	TCMT02534
UHF0015	TCMT02648
UHF0016	TCMT02245
UHF0016	TCMT02446
UHF0017	TCMT02245
UHF0017	TCMT00238
UHF0017	TCMT00173
UHF0018	TCMT02245
UHF0018	TCMT00238
UHF0019	TCMT00201
UHF0020	TCMT00201
UHF0022	TCMT02245
UHF0022	TCMT00222
UHF0022	TCMT02375
UHF0022	TCMT02320
UHF0022	TCMT00326
UHF0023	TCMT02245
UHF0023	TCMT00222
UHF0023	TCMT00159
UHF0023	TCMT02576
UHF0024	TCMT02375
UHF0024	TCMT02318
UHF0024	TCMT00053
UHF0025	TCMT00237
UHF0025	TCMT02276
UHF0026	TCMT02247
UHF0026	TCMT02320
UHF0026	TCMT02748
UHF0026	TCMT00297
UHF0027	TCMT02245
UHF0028	TCMT02245
UHF0028	TCMT00222
UHF0028	TCMT02318
UHF0029	TCMT02247
UHF0029	TCMT02534
UHF0029	TCMT02318
UHF0030	TCMT02375
UHF0030	TCMT02509
UHF0031	TCMT02245
UHF0031	TCMT02320
UHF0032	TCMT02245
UHF0032	TCMT02576
UHF0032	TCMT00206
UHF0032	TCMT02446
UHF0033	TCMT02245
UHF0033	TCMT02576
UHF0033	TCMT02446
UHF0034	TCMT02245
UHF0034	TCMT00238
UHF0034	TCMT00173
UHF0035	TCMT00201
UHF0036	TCMT02245
UHF0036	TCMT02320
UHF0037	TCMT02248
UHF0037	TCMT00240
UHF0037	TCMT00173
UHF0038	TCMT02246
UHF0038	TCMT00240
UHF0038	TCMT00173
UHF0039	TCMT02248
UHF0039	TCMT00240
UHF0039	TCMT02442
UHF0039	TCMT02534
UHF0039	TCMT00173
UHF0040	TCMT02375
UHF0040	TCMT02509
UHF0041	TCMT02648
UHF0042	TCMT02245
UHF0042	TCMT00222
UHF0042	TCMT00068
UHF0043	TCMT02534
UHF0044	TCMT00326
UHF0045	TCMT02245
UHF0045	TCMT02413
UHF0046	TCMT02375
UHF0046	TCMT00222
UHF0047	TCMT02245
UHF0047	TCMT02406
UHF0047	TCMT00222
UHF0048	TCMT02247
UHF0048	TCMT00222
UHF0048	TCMT02534
UHF0048	TCMT02442
UHF0049	TCMT02247
UHF0049	TCMT02671
UHF0049	TCMT00222
UHF0050	TCMT02671
UHF0050	TCMT02260
UHF0050	TCMT00128
UHF0051	TCMT00201
UHF0051	TCMT02748
UHF0052	TCMT02245
UHF0052	TCMT02320
UHF0052	TCMT02442
UHF0053	TCMT00222
UHF0053	TCMT00326
UHF0054	TCMT00222
UHF0054	TCMT00326
UHF0055	TCMT02516
UHF0055	TCMT02545
UHF0055	TCMT02576
UHF0056	TCMT02248
UHF0056	TCMT02516
UHF0056	TCMT02576
UHF0057	TCMT02246
UHF0057	TCMT00196
UHF0057	TCMT02516
UHF0058	TCMT02534
UHF0058	TCMT02576
UHF0058	TCMT00192
UHF0058	TCMT00068
UHF0059	TCMT02248
UHF0059	TCMT02442
UHF0059	TCMT00196
UHF0059	TCMT02516
UHF0060	TCMT02534
UHF0061	TCMT02648
UHF0061	TCMT02526
UHF0061	TCMT02375
UHF0062	TCMT02248
UHF0062	TCMT02375
UHF0062	TCMT02543
UHF0062	TCMT02526
UHF0063	TCMT02246
UHF0063	TCMT00205
UHF0063	TCMT02595
UHF0063	TCMT02259
UHF0064	TCMT02516
UHF0064	TCMT02264
UHF0065	TCMT02248
UHF0065	TCMT00173
UHF0065	TCMT02576
UHF0065	TCMT02534
UHF0065	TCMT02748
UHF0065	TCMT00129
UHF0066	TCMT02516
UHF0066	TCMT02748
UHF0067	TCMT02247
UHF0067	TCMT02568
UHF0067	TCMT02534
UHF0068	TCMT02247
UHF0068	TCMT02568
UHF0069	TCMT02534
UHF0069	TCMT02576
UHF0070	TCMT02576
UHF0070	TCMT02534
UHF0070	TCMT00238
UHF0071	TCMT02534
UHF0073	TCMT02245
UHF0073	TCMT02568
UHF0073	TCMT00173
UHF0075	TCMT02648
UHF0075	TCMT00286
UHF0076	TCMT00164
UHF0077	TCMT02246
UHF0077	TCMT00222
UHF0077	TCMT00164
UHF0078	TCMT02247
UHF0078	TCMT02568
UHF0078	TCMT02534
UHF0079	TCMT02245
UHF0079	TCMT02406
UHF0079	TCMT02320
UHF0080	TCMT02375
UHF0080	TCMT00222
UHF0081	TCMT02444
UHF0082	TCMT00222
UHF0082	TCMT02748
UHF0083	TCMT00276
UHF0084	TCMT02248
UHF0084	TCMT00053
UHF0084	TCMT02440
